"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1,BT2","2","Battery_Cell","","","","",""
"BZ1","1","Buzzer","","","","",""
"C1","1","1uF","","","","",""
"C2","1","0.1uF","","","","",""
"C3,C4","2","10uF","","","","",""
"C5,C8","2","100nF","","","","",""
"C6","1","470uF","","","","",""
"C7","1","220uF","","","","",""
"C9","1","C","","","","",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9","9","LED","","","","",""
"D10","1","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"D11","1","1N5400","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"F1","1","Fuse_Small","","","","",""
"J1","1","Load Cell","","","","",""
"J2","1","Barrel_Jack","","","","",""
"J5","1","Raspberry_Pi_Zero_2W","","","","",""
"Q1","1","PMOS","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"Q2,Q3","2","NMOS","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"Q4","1","S8050","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf"
"R1","1","10k","","","","",""
"R2,R3,R19","3","100k","","","","",""
"R4","1","300k","","","","",""
"R5,R15,R18","3","1k","","","","",""
"R6,R7,R8,R9,R10,R11,R12,R13,R14","9","100","","","","",""
"R20","1","56k","","","","",""
"RTC1","1","RTC_DS3231","","","","",""
"SW1","1","SW_Push","","","","",""
"SW2","1","SW_SPDT","","","","",""
"U1","1","HX711-Mod","","","","HX711_module",""
"U2","1","ADS1115-module","","","","",""
"U3","1","HX-2S-JH20","","","","",""
"U4","1","XL4015","","","","",""
